Mineralienwelt 6 / 92,"Günther Blaß, Hans Werner Graf",Cuproadamin und Luzonit von der Grube Clara,,
Mineralienwelt 6 / 92,"Günther Blaß, Hans Werner Graf","Korund, Zirkon und ein Cancrinitmineral vom Herchenberg, Eifel",,
Mineralienwelt 6 / 92,"Günther Blaß, Hans Werner Graf","Spinell vom Eicher Sattel, Eifel",,
Mineralienwelt 6 / 92,"Günther Blaß, Hans Werner Graf","Hyalit, Anorthit und Calciobetafit / Pyrochlor vom Ettringer Bellerberg, Eifel",,
Mineralienwelt 6 / 92,"Günther Blaß, Hans Werner Graf","Manganocolumbit, Aragonit-Siderit-Calcit, Monazit-(Ce) und Hedenbergit von den Mendiger Grubenfeldern, Eifel",,
Mineralienwelt 6 / 92,"Günther Blaß, Hans Werner Graf","Delafossit vom Schmiedeberger Raubstollen, Sieg",,
Mineralienwelt 6 / 92,"Dieter Klaus, Rainer Bode",Die Bergkristallvorkommen von Hot Springs und Mount Ida in Arkansas,,
Mineralienwelt 6 / 92,"Dieter Klaus, Rainer Bode",Neue Rhodochrositfunde in der Sweet Home Mine bei Alma / Colorado,,
Mineralienwelt 6 / 92,"Michal Hamet, Veronika Stedra",Die PbZn-Lagerstätte Dalnegorsk in Ostsibirien,,
Mineralienwelt 6 / 92,"Michal Hamet, Veronika Stedra","Dzezkazgan heißt ""kupferner Kessel """,Die Kupfererzlagerstätte Dzezkazgan in Kazastan,
Mineralienwelt 6 / 92,Jaroslav Hyrsl,"Die Mineralien der Alpin-Paragenese aus dem Nordural, Russland",,
Mineralienwelt 6 / 92,"Michal Hamet, Veronika Stedra, Nikita Cukanov","Die Mineralien der Eisenlagerstätte von Kertsch, Krim",,
Mineralienwelt 6 / 92,Peter Lyckberg,Eine Reise zu den klassischen Edelsteinpegmatiten von Mursinka und Alabaska sowie zu den Smaragdvorkommen im Bereich Takovaja im Ural Teil 1,,
Mineralienwelt 1 / 93,Redaktion,Charoit,incl.Begleitminerale,D:\Klaus\+Mineral\Datenbank 03\Literaturdatenbank\Mineralienwelt\Mineralienwelt als pdf\Mineralienwelt 1993 01 300.pdf
Mineralienwelt 1 / 93,Thomas Crawford,Mineraliensammeln in Südost-Alaska,,
Mineralienwelt 1 / 93,Petr Paulis,"Neufunde sekundärer Uranminerale von Rozna in Westmähren, Tschechien",,
Mineralienwelt 1 / 93,"Günther Blaß, Christof Schäfer","Über eine ungewöhnliche Paragenese mit Pyrophanit und Hydrozinkit vom Laacher See, Eifel",,
Mineralienwelt 1 / 93,"Steffen Jahn, Andreas Kluge","Die Fundgrube ""Altväter samt Eschig"" und ihre Minerale",,
Mineralienwelt 1 / 93,William S.Wise,"Die Mineralien der Mohawk Mine im San Bernadino County, Kalifornien",,
Mineralienwelt 1 / 93,Andreas Habel,Anatas- Vorkommen im östlichen Bayerischen Wald,,
Mineralienwelt 2 / 93,Torgeir T.Garmo,Die Funde in Norwegen 1992,,D:\Klaus\+Mineral\Datenbank 03\Literaturdatenbank\Mineralienwelt\Mineralienwelt als pdf\Mineralienwelt 1993 02 300.pdf
Mineralienwelt 2 / 93,Gerhard Niedermayr,Das Einschlußbild von Gläsern,,
Mineralienwelt 2 / 93,"Olaf Medenbach, Michael Klawa, Rolf Neuser",Bertrandit - ein interessanter Neufund von Ehrenfriedersdorf in Sachsen,,
Mineralienwelt 2 / 93,Lance T.Hampel,Die Kupfer- und Eisenerzlagerstätten im Gebiet des Lake Superior,,
Mineralienwelt 2 / 93,Gerhard Sansoni,"Über Akanthit, insbesondere aus dem Freiberger Revier",,
Mineralienwelt 2 / 93,"Günther Blaß, Artur Wittern","Schlackenminerale aus dem ""Ruhrgebiet"" des Nordens bei Joldelund, Nordfriesland",,
